Código Región,Nombre Región,Código Municipio,Nombre Municipio,Código Habilitación Prestador Salud,Razón Social Organización,Nombre Sede,Número NIT,Dígito Verificación NIT,Dirección,Número Teléfono,Dirección Correo Electrónico,Punto
05,Norte,05854,Valdivia,058540457701,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JAUN DE DIOS VALDIVIA,E.S.E HOSPITAL SAN JUAN DE DIOS DE VALDIVIA,"891,982,129",7,KR 8 # 7 - 18,5748360218,valdhs01@edatel.net.co,"(7.289894, -75.392647)"
08,Suroeste,05282,Fredonia,052820217101,E.S.E. HOSPITAL DE SANTA LUCIA,E.S.E. HOSPITAL SANTA LUCIA,"890,980,181",8,CL 69 # 50-220 VEREDA EL EDEN,5748401101,fredhs01@edatel.net.co,"(5.932994, -75.679965)"
06,Occidente,05347,Heliconia,053470219201,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,"890,981,074",2,CL 22 B No 20-21,5748549897,helihs01@edatel.net.co,"(6.208224, -75.732622)"
06,Occidente,05501,Olaya,055010556901,ESE HOSPITAL SAN MIGUEL,ESE HOSPITAL SAN MIGUEL,"800,202,398",5,KR 10 # 10 - 34,5748551038,olayhs01@edatel.net.co,"(6.613513, -75.764862)"
04,Nordeste,05736,Segovia,057360612501,E.S.E. HOSPITAL SAN JUAN DE DIOS,E.S.E. HOSPITAL SAN JUAN DE DIOS,"800,080,586",8,KR 44 # 47B - 65,5748318773,segohs01@edatel.net.co,"(7.079003, -74.693899)"
06,Occidente,05842,Uramita,058420643101,EMPRESA SOCIAL DEL ESTADO HOSPITAL TOBIAS PUERTA,EMPRESA SOCIAL DEL ESTADO HOSPITAL TOBIAS PUERTA,"800,065,395",5,CL 20  # 22 170  BRR EL TOTUMO,5748574048,uramhs01@edatel.net.co,"(6.902526, -76.174049)"
04,Nordeste,05031,Amalfi,050310209101,E.S.E HOSPITAL EL CARMEN,E.S.E HOSPITAL EL CARMEN,"890,982,101",8,CL 23 # 23 - 40,5748301803,amalhs01@edatel.net.co,"(6.910925, -75.077171)"
07,Oriente,05313,Granada,053130510901,ESE HOSPITAL PADRE CLEMENTE GIRALDO,ESE HOSPITAL PADRE CLEMENTE GIRALDO,"890,981,182",1,CL 21 # 25-02,5748320742,granhs01@edatel.net.co,"(6.140427, -75.183778)"
03,Magdalena Medio,05585,Puerto Nare,055850472501,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,"890,985,810",5,KR 5 # 45-103,5748347033,pnarhs01@edatel.net.co,"(6.18466, -74.583856)"
03,Magdalena Medio,05579,Puerto Berrio,055790607001,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA CRUZ,E.S.E HOSPITAL LA CRUZ,"890,980,063",7,KR 7 # 48-03,5748332490,pberhs01@edatel.net.co,"(6.488732, -74.404202)"
08,Suroeste,05809,Titiribí,058090434901,ESE HOSPITAL SAN JUAN DE DIOS,ESE HOSPITAL SAN JUAN DE DIOS,"890,980,346",6,Kr Bolivar 18-55,5748482626,titihs01@edatel.net.co,"(6.062678, -75.791556)"
06,Occidente,05234,Dabeiba,052340231401,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,E.S.E HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,"890,984,670",6,KR URIBE URIBE # 622,5748590045,dabehs01@edatel.net.co,"(6.997737, -76.261725)"
05,Norte,05086,Belmira,050860550701,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,"890,982,065",0,KR 19# 19 93,5748674147,belmhs01@edatel.net.co,"(6.607103, -75.666736)"
06,Occidente,05004,Abriaquí,050040588001,ESE HOSPITAL NUEVO HORIZONTE,ESE HOSPITAL NUEVO HORIZONTE,"811,032,722",9,CL 9A # 12-59,3104323014,ese@abriaqui-antioquia.gov.co,"(6.632296, -76.067405)"
08,Suroeste,05679,Santa Bárbara,056790458201,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTAMARIA,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTAMARIA,"890,905,198",3,KR 50 # 45 90,5748463131,stbahs01@hotmail.com,"(5.87398, -75.565225)"
04,Nordeste,05040,Anorí,050400326101,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,"890,982,138",1,CL ZEA (CALLE 30 CON CARRERA 29),5748350803,anorhso1@edatel.net.co,"(7.072657, -75.145669)"
01,Valle de Aburrá,05001,Medellín,050010217801,EMPRESA SOCIAL DEL ESTADO METROSALUD,ESE METROSALUD,"800,058,016",1,KR 50 # 44 - 27  ED SACATIN,5745117505,gerentegeneral@metrosalud.gov.co,"(6.244572, -75.56986)"
01,Valle de Aburrá,05266,Envigado,052660969601,E.S.E. SANTA GERTRUDIS ENVIGADO,CLINICA SANTA GERTRUDIS,"900,125,759",3,DG 33 # 35 C SUR 31,5743319400,envisalud@envigado.gov.co,"(6.168454, -75.581989)"
07,Oriente,05541,El Peñol,055410197901,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,E.S.E HOSPITAL SAN JUAN DE DIOS,"890,980,486",9,TV 7A # 11-84,5748515750,penohs01@edatel.net.co,"(6.216002, -75.238819)"
06,Occidente,05240,Ebéjico,052400374401,EMPRESA SOCIAL DEL ESTADO  HOSPITAL SAN RAFAEL,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,"890,982,370",2,BRR VEREDA FATIMA,5748562681,ebejhs01@edatel.net.co,"(6.325962, -75.767641)"
08,Suroeste,05036,Angelópolis,050360510801,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,E.S.E HOSPITAL LA MISERICORDIA,"890,980,959",0,CL 8 # 7-108,5748421146,eseangel@edatel.net.co,"(6.111182, -75.708992)"
08,Suroeste,05789,Támesis,057890457901,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,E.S.E HOSPITAL SAN JUAN DE DIOS,"890,980,855",3,KR 10 # 13 - 52,5748494802,tamehs01@edatel.net.co,"(5.664982, -75.713031)"
02,Bajo Cauca,05250,El bagre,052500213301,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN,"800,138,311",1,CL 50 # 46D-37,5748372381,bagrhs01@edatel.net.co,"(7.590835, -74.809856)"
09,Urabá,05665,San Pedro de Urabá,056650551401,E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ,E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ,"890,985,660",7,CL 54 # 47 - 102,5748205065,snpuhs01@edatel.net.co,"(8.284117, -76.383648)"
05,Norte,05647,San Andrés de Cuerquia,056470217401,EMPRESA SOCIAL DEL ESTADO GUSTAVO GONZALEZ OCHOA,E.S.E GUSTAVO GONZALEZ OCHOA,"890,982,113",6,BRR EL CRUCERO,5748618101,snanhs01@edatel.net.co,"(6.914669, -75.675287)"
06,Occidente,05761,Sopetrán,057610561201,EMPRESA SOCIAL DEL ESTADO HORACIO MUÑOZ SUESCUN,EMPRESA SOCIAL DEL ESTADO HORACIO MUÑOZ SUESCUN,"890,982,184",9,CL BENJAMIN HERRERA # 11 - 53,5748541555,sopehs01@edatel.net.co,"(6.500707, -75.743845)"
04,Nordeste,05690,Santo Domingo,056900483701,ESE HOSPITAL SAN RAFAEL DE SANTO DOMINGO,ESE HOSPITAL SAN RAFAEL,"890,906,560",1,KR 16 # 18 29,5748621155,stdohs01@edatel.net.co,"(6.474783, -75.162024)"
09,Urabá,05837,Turbo,058370228701,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO VALDERRAMA,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO VALDERRAMA,"890,981,137",8,KM 1 SALIDA TURBO - APARTADO,5748272088,turbhs01@edatel.net.co,"(8.094491, -76.714541)"
08,Suroeste,05364,Jardín,053640476801,E.S.E HOSPITAL GABRIEL PELÁEZ MONTOYA,E.S.E HOSPITAL GABRIEL PELÁEZ MONTOYA,"890,980,732",6,CL 5 UNION # 1 24,5748455555,jardhs01@edatel.net.co,"(5.602425, -75.821784)"
09,Urabá,05172,Chigorodó,051720630501,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,"890,980,997",0,KR 108 # 101 A - 57,5748253191,esechigorodo@edatel.net.co,"(7.672513, -76.687805)"
01,Valle de Aburrá,05079,Barbosa,050790407701,ESE HOSPITAL SAN VICENTE DE PAUL,ESE HOSPITAL SAN VICENTE DE PAUL,"890,905,193",7,KR 17 # 10 - 34,5744061341,esebarbosa@une.net.co,"(6.43651, -75.333209)"
03,Magdalena Medio,05142,Caracolí,051420410301,HOSPITAL SAN PIO X,HOSPITAL SAN PIO X,"890,981,266",1,CL 21# 20-32,5748336014,carahs01@edatel.net.co,"(6.411135, -74.754925)"
04,Nordeste,05890,Yolombó,058900243101,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE YOLOMBO,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE YOLOMBO,"890,981,536",3,KR 24 # 13 - 466,5748654210,yolohs01@edatel.net.co,"(6.597681, -75.017438)"
09,Urabá,05147,Carepa,051470631101,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,E.S.E HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,"800,227,877",1,CL 70  # 68 - 03,5748236548,carehs01@edatel.net.co,"(7.750753, -76.65483)"
02,Bajo Cauca,05495,Nechí,054950491501,ESE HOSPITAL LA MISERICORDIA,ESE HOSPITAL LA MISERICORDIA,"800,138,011",7,CL LA MISERICORDIA,5748368053,hospitalnechi@gmail.com,"(8.092287, -74.781103)"
09,Urabá,05873,Vigia del Fuerte,058730436301,EMPRESA SOCIAL DEL ESTADO HOSPITAL ATRATO MEDIO ANTIOQUEÑO,E.S.E HOSPITAL ATRATO MEDIO ANTIOQUEÑO,"811,020,943",8,CL PRINCIPAL,5748678151,vigihs@edatel.net.co,"(6.589922, -76.879578)"
